Lname,Fname,Regiment,RankCasualtie,RankSoldier,Junk
BABCOCK,ANDREW ENOS,,null,0
BABCOCK,THOMAS,A/2463,null,0
BABCOCK,WILLIAM LESTER,17197,null,0
BABINEAU,JOHN BAPTISTE,159,null,0
BACCHUS,HENRY,1523,null,0
BACKHOUSE,REGINALD JOHN,,null,0
RG 150; Accession 1992-93/166; Box 329 - 15,BACKHURST,F J,null,0
BACON,FRANCES WILLIAM,145303,null,0
BADEAU,EDOUARD,32861,null,0
BADELINO,LOUIS FORTUNE,3055900,null,0
BADGER,ARCHIBALD JAMES ROBERT,,null,0
BADIUK,VASILI,449269,null,0
BADLEY,SIDNEY,514,null,0
BAGNALL,HENRY WARREN HARRY,401480,null,0
BAGSLEY,HARRY EDMOND,A/11008,null,0
BAGULEY,JOSEPH PLANT,75887,null,0
RG 150; Accession 1992-93/166; Box 340 - 41,BAILEY,A,null,0
BAILEY,JOHN CHARLES,437213,null,0
BAILEY,JOSEPH PAGET,,null,0
RG 150; Accession 1992-93/166; Box 349 - 8,BAILEY,P M,null,0
BAILIE,FRANK JOHNSTON,830158,null,0
BAILIE,THOMAS,3033371,null,0
BAILLARGEON,PHILIPPE,192,null,0
BAILLE-HAMILTON,CHARLES DOUGLAS,108074,null,0
RG 150; Accession 1992-93/166; Box 346 - 47,BAILLIE,J H,null,0
BAIN,ARCHIBALD COCKBURN,,null,0
 A32708",RG 150; Accession 1992-93/166; Box 354 - 24,CHARLES LAWSON,null,0
BAIN,DAVID,A/2028,null,0
RG 150; Accession 1992-93/166; Box 355 - 32,BAIN,J A,null,0
BAIN,LEOPOLD,223462,null,0
 645110",RG 150; Accession 1992-93/166; Box 357 - 50,FREDERICK WILLIAM,null,0
RG 150; Accession 1992-93/166; Box 358 - 7,BAINES,J A,null,0
BAIRD,ALEX,23099,null,0
BAIRD,ALEXANDER WATSON,,null,0
BAIRD,ANDREW STUART,73318,null,0
RG 150; Accession 1992-93/166; Box 360 - 2,BAIRD,G,null,0
 62926",RG 150; Accession 1992-93/166; Box 360 - 42,JAMES CARDY,null,0
RG 150; Accession 1992-93/166; Box 361 - 5,BAIRD,J R,null,0
BAIRD,LOUDOUN,487496,null,0
BAIRD,ROBERT,4070262,null,0
 54300",RG 150; Accession 1992-93/166; Box 362 - 35,WILLIAM EDWIN,null,0
BAIRD (SCOTT),JAMES,552838,null,0
BAKER,CHARLES FREDERICK,438164,null,0
RG 150; Accession 1992-93/166; Box 366 - 4,BAKER,C H,null,0
RG 150; Accession 1992-93/166; Box 366 - 53,BAKER,D W,null,0
BAKER,EDWARD,A/38084,null,0
BAKER,ELVY,A/14328,null,0
BAKER,FRANKLIN COLIN,,null,0
BAKER,HORACE GREELEY,,null,0
BAKER,LEONARD,A/40161,null,0
BAKER,PATRICK,R/327,null,0
RG 150; Accession 1992-93/166; Box 376 - 5,BAKER,P I,null,0
BAKER,SPENCER,,null,0
BAKER,THOMAS MASSEY,,null,0
BALCOM,EVERETT,11019,null,0
BALDAU,FRANK,258963,null,0
BALDWIN,EDWIN HAROLD ARTHUR,760382,null,0
BALDWIN,KENNEDY GIDEON FRANCIS,111020,null,0
RG 150; Accession 1992-93/166; Box 386 - 47,BALDWIN,S,null,0
BALE,JAMES AUTHER,2633856,null,0
BALEN,ALBERT,3215150,null,0
BALKENSTEIN,DIRK LAURENS,696485,null,0
BALL,BERNARD BERESFORD,410698,null,0
BALL,FREDERICK DRAPER,81037,null,0
BALL,JAMES THOMAS,A/29514,null,0
BALL,LOUIS HENRY,A/2446,null,0
BALL,PERCY,Z/9156,null,0
BALL,SAMUEL WARREN,436971,null,0
BALL,THOMAS EDWARD,2129480,null,0
BALLINTINE,BEN,1003360,null,0
BALLS,WILLIAM HENRY,925035,null,0
BALSDEN,GEORGE RICHARD,491128,null,0
BAMBLETT,FREDERICK JOSEPH,678763,null,0
BAN,ICHYI,697036,null,0
BANCROFT,MATTHEW,11553,null,0
BANDEEN,FRANK,203063,null,0
BANDUR,ROBERT ELMER,8.4,null,0
BANHAM,SYDNEY,442583,null,0
BANISTER,JOHN EDWIN,74123,null,0
BANKS,HARRY,,null,0
BANKS,JAMES ARTHUR,A/6358,null,0
BANN,MURRAY,622725,null,0
BANNELL,SAM,1015935,null,0
BANNERMAN,ALEXANDER MITCHELL,693298,null,0
BANNISTER,HERBERT STANLEY,,null,0
BANNISTER,HEZEKIAH,2014402,null,0
BANNISTER,WILLIAM HARVEY,41463,null,0
BANVILLE,JOSEPH AURELE,2678783,null,0
BARAZINI,GEORGE,63147,null,0
BARBER,CHARLES CALVIN,75.731707317,null,0
BARBER,FRANK,410014,null,0
BARBER,GEORGE RAMSAY,428188,null,0
BARBER,SIDNEY,63077,null,0
BARBER,WALTER WILLIAM,651705,null,0
BARCACARP,VLADIMIR,1054842,null,0
BARCLAY,ALEXANDER,G/9425,null,0
BARDELL,HAROLD,408059,null,0
BARDWELL,MARCUS GEORGE,2755,null,0
BARFORD,FREDERICK,A/34063,null,0
BARIBEAU,WILLEY,417101,null,0
 6115",RG 150; Accession 1992-93/166; Box 429 - 80,STANLEY,null,0
BARKER,EARLE VICTOR,141854,null,0
RG 150; Accession 1992-93/166; Box 432 - 22,BARKER,H,null,0
BARKER,SIDNEY BARNES,177936,null,0
BARKER,WILLIAM SIDNEY,77500,null,0
BARKEY,ALFRED (ANGELO),27448,null,0
 628471",RG 150; Accession 1992-93/166; Box 437 - 45,GEORGE,null,0
BARLASS,FRED,204794,null,0
BARLEY,ALAN GEORGE,424547,null,0
RG 150; Accession 1992-93/166; Box 438 - 41,BARLOW,A W,null,0
BARLOW,DANIEL,439473,null,0
BARNABY,JOSEPH,2381799,null,0
RG 150; Accession 1992-93/166; Box 444 - 43,BARNES,C R,null,0
BARNES,FREDERICK VICTOR,443885,null,0
BARNES,JOHN HENRY,,null,0
BARNES,RENNIE HAMILTON,,null,0
BARNES,ROBERT,432005,null,0
BARNES,WILFRED ROBERT,,null,0
BARNES,WILLIAM ALFRED,A/1550,null,0
BARNETT,HAROLD,5217,null,0
BARNHARDT,CLARENCE NEAL,2009110,null,0
BARNHARDT,FRED,A/2464,null,0
BARNHART,CORNELIUS,7711,null,0
BARNSTON,ALEX STUART,458430,null,0
BARON,OSWOLD WAITE,63119,null,0
BARONIAN,BAQHASAH (BALTHAZAR),19368,null,0
BARR,JAMES,A/2979,null,0
BARR,JAMES STEVENSON,,null,0
RG 150; Accession 1992-93/166; Box 459 - 16,BARR,P S,null,0
BARR,THOMAS JOHN,A/22368,null,0
BARR,THOMAS SAMUEL,148333,null,0
BARRACLOUGH,BARBER (PARKER),3106060,null,0
BARRATT,GEORGE WILLIAM,63116,null,0
BARRATT,WILFRED,1909,null,0
BARRAU,AIME JEAN,74222,null,0
BARRAUD,JEAN,472061,null,0
BARRETT,ANTHONY,,null,0
BARRETT,EPHRAIM,427633,null,0
BARRETT,MATHEW,420826,null,0
BARRETT,WILLIAM,A/10766,null,0
BARRETTE,PHILIAS JOSEPH,527039,null,0
RG 150; Accession 1992-93/166; Box 473 - 22,BARRIE,A,null,0
BARRIE,FREDERICK GEORGE,436316,null,0
BARRIER,JOSEPH,133206,null,0
BARRINGER,WALTER,922310,null,0
BARRINGTON,ALBERT,27738,null,0
BARRON,COME,3090617,null,0
BARRY,JOHN,A/14235,null,0
BARSS,HAROLD,117128,null,0
BARTEAUX,ERVINE LESTER,67655,null,0
 431141",RG 150; Accession 1992-93/166; Box 478 - 43,FELTON CHARLES,null,0
RG 150; Accession 1992-93/166; Box 478 - 36,BARTER,H,null,0
BARTHELET,FREDERICK,931227,null,0
BARTHOLOMEW,VERNE LYLE,748377,null,0
BARTLE,ERIC LESLIE,7605,null,0
BARTLETT,EDWIN LUCAS,434094,null,0
RG 150; Accession 1992-93/166; Box 485 - 32,BARTLEY,K F,null,0
BARTON,ALBERT,415134,null,0
BARTON,ALFRED TENNYSON,19577,null,0
RG 150; Accession 1992-93/166; Box 487 - 46,BARTON,G G,null,0
BARTON,WILLIAM JAMES,715617,null,0
BARUGH,WILFRED BROADLEY,406263,null,0
RG 150; Accession 1992-93/166; Box 495 - 9,BASSETT,J A,null,0
BASSINGTHWAIGHTE,HAROLD WARD,142185,null,0
BATCHELOR,WALTER JOHN,,null,0
BATE,NEWELL HOLLAND,,null,0
BATE,WALTER HART,477049,null,0
BATEMAN,CHARLES EDWARD,3082849,null,0
BATEMAN,REGINALD JOHN GODFREY,,null,0
BATEMAN,WILLIAM,IO/5662,null,0
BATES,ALBERT ARTHUR,2836,null,0
BATES,ALEXANDER,IO/5481,null,0
BATES,BERARD JOHN,,null,0
