Lname,Fname,Regiment,RankCasualtie,RankSoldier,Junk
AGER,GEORGE SAMUEL,,Lieutenant,LT,0
ALLEN,REGINALD ARTHUR SINCLAIR,,Captain,CPT,0
ANDERSON,WILLIAM JAMES,,Major,LT,0
BALL,ALBERT RANSOME,,Lieutenant,LT,0
BECHER,HENRY CAMPBELL,,Major,MAJ,0
BELL,ANDREW LESLIE,,Lieutenant,LT,0
BELL-IRVING,DUNCAN PETER,,Lieutenant,LT,0
BENNETT,GEORGE W,,Captain,MAJ,0
BENTLEY,FREELAND MARTELL,,Lieutenant,LT,0
BEVAN,PERCIVAL JOHNSTONE,,Lieutenant,LT,0
BIRCHALL,ARTHUR PERCIVAL,,Lieutenant Colonel,LCL,0
BOGGS,HERBERT BEAUMONT,,Lieutenant,LT,0
BOLSTER,HERBERT GEORGE,,Major,MAJ,0
BOWIE,GEORGE PIGRUM,,Captain,CPT,0
BOYLE,RUSSELL LAMBERT,,Lieutenant Colonel,LCL,0
BROTHERHOOD,WILFRED CASHEL,,Lieutenant,LT,0
BUSCOMBE,ROBERT FREDERICK EDWIN,,Lieutenant,LT,0
CAMPBELL,FREDERICK WILLIAM,,Captain,MAJ,0
CLARK,CHARLES LOARING,,Lieutenant,LT,0
CLIBBORN,JOHN BARCLAY,,Lieutenant,LT,0
COOKE,HENRY,,Captain,CPT,0
CROWDY,CHARLES HUTTON,,Captain,CPT,0
CULLING,EVELYN CLAUDE,,Captain,CPT,0
CURRIE,JAMES MAXWELL,,Lieutenant,LT,0
CURRY,LEON HALL,,Captain,CPT,0
DARCHE,AUGUSTE RAOUL,,Captain,CPT,0
DARLING,ROBERT CLIFFORD,,Captain,CPT,0
DAVIS,REGINALD NEVILLE CRAIG,,Lieutenant,LT,0
DENNISON,HARRY STUART,,Captain,CPT,0
DILLON,WILLIAM PEARSON,,Major,MAJ,0
DOXSEE,WILLIAM JOHN,,Lieutenant,LT,0
DUNCAN,GEORGE GORDON,,Captain,CPT,0
DUVAL,JOSIAS LOUIS,,Major,MAJ,0
EARDLEY-WILMOT,FREDERICK LAWRENCE,,Lieutenant,LT,0
EDDIS,ARTHUR GEORGE,,Lieutenant,LT,0
