Lname,Fname,Regiment,RankCasualtie,RankSoldier,Junk
ANDREWS,GORDON STEWART,,Lieutenant,0
ANDREWS,HECTOR GEORGE ROBERT FRANK,,Lieutenant,0
BLACK,FERGUS,,Lieutenant,0
BROWN,CHRISTOPHER,,Private,0
CHAMBERS,SAMUEL WALLACE GRAHAM,,Lieutenant,0
CHURCHILL,ARTHUR NORTON HICKLING,,Lieutenant,0
COOKE,CYRIL ANNESLEY,,Captain,0
DUGGAN,HERRICK STEVENSON,,Lieutenant,0
HIGGS,LESLIE,,Sergeant,0
HOARE,JOCELYN,,Lance Corporal,0
HUNT,RONALD FRANCIS,,Second Lieutenant,0
IRWIN,DE WITT OSCAR,,Captain,0
JANIN,GEORGE ALEX FRANCIS ROMAIN,,Major,0
JONES,HENRY CHARLES,,Lieutenant,0
KLOTZ,HERBERT NORMAN,,Lieutenant,0
MACPHERSON,ARTHUR VINCENT CLARESHOLM,,Lieutenant,0
MATHER,JOHN WILFRED,,Captain,0
MCCORMICK,ROBERT,,Private,0
MILLAR,ARCHIBALD,,Private,0
MUIR,ANDREW CHRISTISON MITCHELL,,Lieutenant,0
NEWTON,DENZEL ONSLOW COCHRANE,,Captain,0
NEWTON,WILLIAM SAVAGE,,Captain,0
PHILLIPS,JOHN NOEL,,Captain,0
POPHAM,EDWARD HOME,,Captain,0
ROBINSON,RICHMOND FOTHERGILL,,Second Lieutenant,0
ROGERS,ALAN STANLEY CLARK,,Captain,0
ROGERS,FREDERICK WILLIAM,,Second Lieutenant,0
SHARP,ALFRED GRANVILLE,,Major,0
SMITH,RANDOLPH RAE,,Second Lieutenant,0
THORP,HENRY GUY HANWING,,Second Lieutenant,0
TOWNSEND,HUGH VERE,,Second Lieutenant,0
WALKER,ALLAN DIXON,,Lieutenant,0
WALKER,SHARPE,,Private,0
BLACK,SIDNEY ARTHUR,,Flight Sub Lieutenant,0
BODDY,ANDREW JOHN,,Flight Sub Lieutenant,0
CHADWICK,FREDERICK WILLIAM,,Lieutenant,0
DOUGLAS,CHARLES IRVING,,Lieutenant,0
ELLIS,SHIRLEY DUNCAN,,Second Lieutenant,0
EVANS,ALEXANDER EASSON,,Lieutenant,0
GIBSON,LAURENCE PERCIVAL KENNEDY,,Lieutenant,0
HOWE,JOHN,,Lieutenant,0
JONES,ERNEST,,Private,0
LLOYD,FRANCIS OSWALD,,Second Lieutenant,0
LLOYD,GILBERT KINGSLEY,,Second Lieutenant,0
OWEN,HORALD HEBER,,Lieutenant,0
PAGE,HERBERT JOSEPH,,Flight Sub Lieutenant,0
PEMBERTON,WARREN COLCLOUGH,,Lieutenant,0
ROSS,ALASTAIR,,Second Lieutenant,0
ROSS,ELSIE GERTRUDE,,Nursing Sister,0
ROWLEY,HAROLD GEORGE,,Lieutenant,0
THORNE,STEPHEN OSBORNE,,Lieutenant,0
WHITESIDE,ALEXANDER FORRESTER,,Captain,0
ADAMS,HUGH IRVING,,Lieutenant,0
ANDERSON,ARCHIBALD JOSEPH,,Captain,0
ANDERSON,GOLDIE FRASER,,Captain,0
BAKER,ARTHUR WILLIAM,,Second Lieutenant,0
BARNARD,LEWIS HAROLD,,Lieutenant,0
BLAKE,JERRALD EDWARD,,Captain,0
BUCHANAN,FITZHERBERT PRICE,,Captain,0
CHRISTIE,HAROLD REGINALD MORRIS,,Second Lieutenant,0
COCKBURN,GEORGE ANGUS,,Lieutenant,0
COLE,DAVID,,Second Lieutenant,0
CRAWFORD,REGINALD WARING LINDSAY,,Second Lieutenant,0
DOULL,JOHN,,Lieutenant Colonel,0
ELLIOTT,FRED FLETCHER,,Lieutenant,0
GORDON,DAVID ELDER,,Second Lieutenant,0
GORDON,RONALD HENRY,,Captain,0
HALL,GORDON WILLIAM,,Lieutenant,0
HENDERSON,ELMES POLLOCK,,Captain,0
HIPWELL,JACK BASIL,,Lieutenant,0
HUGHES,FREDRICK GORDON,,Second Lieutenant,0
JAY,FREDERICK WILLIAM,,Captain,0
LANDRY,EVARISTE,,Private,0
MACLEAN,DUGALD BLACK,,Captain,0
MCLEAN,ATHOLL ARCHIBALD,,Second Lieutenant,0
MORRIS,ALFRED GEORGE,,Second Lieutenant,0
NICOL,EWEN CAMERON,,Lieutenant,0
NISBET,POLLOC SINCLAIR,,Lieutenant,0
PAGE,REGINALD,,Second Lieutenant,0
PALMER,REGINALD,,Lieutenant,0
PERRY,WILLIAM CLAUDE,,Second Lieutenant,0
ROGERS,CLARENCE ELIAS,,Second Lieutenant,0
SIMPSON,COLIN,,Second Lieutenant,0
STEPHENS,GEOFFREY DUNCAN,,Second Lieutenant,0
STEPHENS,LAURENCE DE KALISZ,,Lieutenant,0
WEBSTER,LISTER OLNY,,Major,0
WELCH,JAMES STANLEY LIGHTFOOT,,Lieutenant,0
WHITEHEAD,EDWARD ASHWORTH,,Captain,0
WHITTAKER,ROGER D'ARCY ADJT,,Captain,0
WOODSIDE,HUGH MARR,,Second Lieutenant,0
AYTOUN,FREDERICK ERNEST,,Major,0
BAKER,EDWARD,,Captain,0
BAKER,HAROLD CARL,,Second Lieutenant,0
BATES,BERARD JOHN,,Lieutenant,0
BEATTY,CARL JOHN,,Second Lieutenant,0
BELL,DAVID HUNTER,,Captain,0
BLAIR,JAMES KENT,,Lieutenant,0
BROWN,JACK IOOSOS,,Private,0
CLARK,RALPH BRADFORD,,Lieutenant,0
CRAIG,ALEXANDER FRASER,,Lieutenant,0
DAVIDSON,GEORGE THOROLD,,Sub-Lieutenant,0
DRUMMOND,GREGOR STUART,,Lieutenant,0
DUTHIE,WILFRID ALEXANDER,,Lieutenant,0
FERGUSON,RODERICK MACKENZIE,,Second Lieutenant,0
FISHER,HENRY COURTENAY,,Lieutenant,0
FRY,HOWARD,,Sub-Lieutenant,0
GORDON,MCLAREN,,Lieutenant,0
GREEN,CARLETON CARROLL,,Captain,0
HALL,ALEXANDER MACRAE,,Lieutenant,0
HARVEY,EDWARD CHARLES,,Lieutenant,0
JENKINS,ROBERT HENRY CHARLES,,Second Lieutenant,0
KITTO,ALEC JOHN,,Lieutenant,0
KNIGHT,ARTHUR GERALD,,Captain,0
LAING,MURDOCH,,Lieutenant,0
MAJOR,CYRIL BISDEE,,Second Lieutenant,0
MALONE,JOHN THOMAS,,Captain,0
MANSFIELD,HAROLD BARTON,,Second Lieutenant,0
MARTIN,STANLEY FREDERICK AYLWIN,,Major,0
MCGEE,FRANCIS CLARENCE,,Lieutenant,0
MCLEAN,TERENCE PATRICK,,Major,0
MCLEOD,DANIEL EDWARD,,Second Lieutenant,0
MIDDLETON,ARTHUR,,Lieutenant,0
MORTIMER,CHARLES GORDON,,Lieutenant,0
MOSS,HECTOR ALBERT,,Lieutenant,0
MURRAY,HAROLD GLADSTONE,,Lieutenant,0
POPHAM,CLARKE HALL,,Lieutenant,0
PRYCE-JONES,REX,,Lieutenant,0
ROSAMOND,ALEXANDER GEORGE,,Lieutenant,0
ROSS,PERCY,,Lieutenant,0
SAVAGE,HENRY OSBORNE,,Lieutenant,0
SCOTT,STANLEY WILLIAM,,Lieutenant,0
SHARP,WYLIE,,Lieutenant,0
STEVENSON,RALPH WICKHAM,,Lieutenant,0
STUART,HENRY CUTHBERT,,Lieutenant,0
STUART,HERBERT JAMES,,Lieutenant,0
STUPART,FREDERIC GUSTAVUS,,Lieutenant,0
TEMPLE,CLAUDE CASTLEMAINE,,Lieutenant,0
THOMPSON,GEOFFREY,,Second Lieutenant,0
THOMPSON,HECTOR,,Second Lieutenant,0
WADSWORTH,D'ARCY REIN,,Lieutenant,0
WILSON,LEWIS,,Captain,0
WRIGHT,PERCY ANDREW,,Second Lieutenant,0
BLACK,JAMES SOMERVILLE,,Second Lieutenant,0
BRICHTA,GEOFFREY JOSEPH OGILVIE,,Lieutenant,0
BURGESS,HAROLD TORRANCE,,Second Lieutenant,0
CAMERON,EVAN STUART,,Second Lieutenant,0
CARRUTHERS,WILLIAM KEITH,,Second Lieutenant,0
COWAN,JOHN,,Lieutenant,0
EVANS,HERB HOWELL,,Lieutenant,0
GASS,LAURENCE HENDERSON,,Lieutenant,0
GRAY,BENJAMIN BELL,,Lieutenant,0
JACKSON,HUGO ANTHONY,,Lieutenant,0
JOHNSON,REGINALD LORRAINE,,Lieutenant,0
JOHNSTON,RUSSEL KERFOOT,,Major,0
LAWRENCE,HENRY,,Second Lieutenant,0
MACDONALD,GRAHAM BRYMNER,,Lieutenant,0
MALONE,JOHN JOSEPH,,Flight Sub Lieutenant,0
MCLEAN,EWEN LAWRENCE BEDSON,,Lieutenant,0
MITCHELL,FOREST H,,Lieutenant,0
MURRAY,ANTHONY ARCHIBALD,,Lieutenant,0
PEACOCK,HUBERT WILLIAM,,Second Lieutenant,0
PEARSE,WALTER JOSIAH,,Second Lieutenant,0
PEBERDY,WARNER HUTCHINS,,Flight Lieutenant,0
PLATT,EDWIN,,Captain,0
PYM,CLAUDE JOHN,,Lieutenant,0
SHIRRIFF,FRANCIS MCKIDER,,Lieutenant,0
SIMPSON,CLARENCE LENNOX,,Captain,0
SMITH,ALLAN WENMAN,,Lieutenant,0
SMITH,LEWIS EWING,,Flight Sub Lieutenant,0
STRONG,CECIL VERGE,,Major,0
TATE,HAROLD GLEN,,Captain,0
TAYLOR,RUPERT WARREN,,Lieutenant,0
THOMPSON,CYPRIAN ALFRED,,Lieutenant,0
TODD,ALLAN SWITZER,,Flight Lieutenant,0
WAGNER,ARCHIE FRANK,,Lieutenant,0
WELLS,CLIFFORD ALMON,,Lieutenant,0
WILSON,CONRAD BLACKADDER,,Second Lieutenant,0
BAKER,FRANKLIN COLIN,,Lieutenant,0
BAKER,HORACE GREELEY,,Major,0
BARNES,WILFRED ROBERT,,Lieutenant,0
BILLINGS,HUGH BRADDISH,,Second Lieutenant,0
BOND,HEDLEIGH ST GEORGE,,Lieutenant,0
BRAY,RAYMOND EARL,,Probationary Flight Officer,0
BROWN,EWART CUDEMORE,,Lieutenant,0
BRUCE,CHARLES TUPPER,,Lieutenant,0
BRYANS,FRASER,,Flight Sub Lieutenant,0
CARMICHAEL,WILMORE,,Lieutenant,0
CARTER,HENRY ALFRED,,Lieutenant,0
CARTER,RALPH BARR,,Lieutenant,0
CROWE,HARRY LAURENCE,,Flight Sub Lieutenant,0
ELLIS,SIDNEY,,Flight Sub Lieutenant,0
EVANS,ALBERT ETHELBERT AYLWARD,,Captain,0
FIDLER,CARREL WATT,,Second Lieutenant,0
FLEMING,ARTHUR GORDON SLANE,,Lieutenant,0
FLEMING,JAMES WELLINGTON,,Second Lieutenant,0
FOSTER,FRANK JAMES,,Second Lieutenant,0
GATES,ALAN FERRIER,,Second Lieutenant,0
GRANT,WALTER,,Lieutenant,0
GRAY,HUBERT MCKENZIE,,Captain,0
GRAY,LINTON VALENTINE,,Lieutenant,0
HARRIS,WEBSTER HENRY FANNING,,Chaplain 4th Class,0
HUNTER,ROBERT,,Lieutenant,0
IRELAND,HERBERT FLETCHER,,Lieutenant,0
JACKSON,PERCY JOHN,,Lieutenant,0
JAMES,EVAN,,Second Lieutenant,0
JARDINE,ROBERT GORDON,,Second Lieutenant,0
JOHNSON,STANLEY MORRELL,,Second Lieutenant,0
JOHNSTON,SINCLAIR BEATTY,,Second Lieutenant,0
JONES,CAVERHILL,,Major,0
LAING,PATRICK JAMES STEVENSON,,Lieutenant,0
LEADLEY,PERCY GEORGE,,Lieutenant,0
LOWE,MAURICE,,Lieutenant,0
MACKAY,ARTHUR GORDON,,Lieutenant,0
MACKENZIE,HECTOR,,Lieutenant,0
MARSHALL,HERBERT WILLIAM HARE,,Lieutenant,0
MATHESON,ALEXANDER PERCEVAL,,Lieutenant,0
MCCONNELL,CLIFFORD,,Lieutenant,0
MCLACHLIN,EWEN,,Lieutenant,0
MCLAREN,FREDERIC MONTEATH,,Second Lieutenant,0
MCLEAN,ALBERT,,Lieutenant,0
MCLEAN,ARTHUR SMITH,,Lieutenant,0
MIDDLETON,JAMES RUSSELL,,Lieutenant,0
MITCHELL,GORDON,,Second Lieutenant,0
MONTGOMERY,NEVILLE,,Lieutenant,0
MORRIS,MANSELL JOHN,,Second Lieutenant,0
MORSE,EDWARD HELY TEMPLEMAN,,Second Lieutenant,0
MORTON,JAMES MCLAREN,,Lieutenant,0
NOLAN,HOWARD STANLEY,,Second Lieutenant,0
OSBORNE,HUBERT,,Captain,0
PAGE,JOHN ALBERT,,Flight Lieutenant,0
PARKER,LESLIE HUNTER,,Flight Sub Lieutenant,0
PERKINS,LEWIS CLARENCE,,Lieutenant,0
PHILLIPS,JOSEPH LEO,,Second Lieutenant,0
PHILLIPS,RALPH ABERDEEN,,Second Lieutenant,0
POLLOCK,MARTIN,,Lieutenant,0
PORTER,HANDLEY ERNEST MAXWELL,,Lieutenant,0
PRATT,AYLWIN MURRAY,,Second Lieutenant,0
REID,ALEXANDER DANIEL,,Lieutenant Colonel,0
REID,ELLIS VAIR,,Flight Sub Lieutenant,0
REID,PERCY CARGILL,,Second Lieutenant,0
REID,RALPH DOUGLAS,,Lieutenant,0
ROACH,EDMUND DANIEL,,Flight Sub Lieutenant,0
ROBERTSON,STANLEY CURRIE,,Lieutenant,0
ROGERS,FREDERICK ARTHUR,,Lieutenant,0
SMITH,JEFFERY FILDER,,Lieutenant,0
